_id,data_year,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,total_pe_ct,state_id,state_name,state_abbr,agency_count_pe_submitting,pe_ct_per_1000
ObjectId("5ea70f830e75000020051f89"),2010,5424,3354,808,4162,2070,10434,12504,4792630,16666,2,Alabama,AL,365,3.48
ObjectId("5ea70f830e75000020051f8a"),2011,5701,3587,801,4388,2114,10668,12782,4815348,17170,2,Alabama,AL,378,3.57
ObjectId("5ea70f830e75000020051f8b"),2012,5806,3584,809,4393,2222,10400,12622,4834334,17015,2,Alabama,AL,385,3.52
ObjectId("5ea70f830e75000020051f8c"),2013,5818,3684,805,4489,2134,10681,12815,4845981,17304,2,Alabama,AL,379,3.57
ObjectId("5ea70f830e75000020051f8d"),2014,5655,3591,829,4420,2064,10613,12677,4861676,17097,2,Alabama,AL,372,3.52
ObjectId("5ea70f830e75000020051f8e"),2015,5827,3694,861,4555,2133,10734,12867,4883134,17422,2,Alabama,AL,376,3.57
ObjectId("5ea70f830e75000020051f8f"),2016,5754,3617,857,4474,2137,10887,13024,4885591,17498,2,Alabama,AL,375,3.58
ObjectId("5ea70f830e75000020051f90"),2017,2827,1695,338,2033,1132,4899,6031,4894285,8064,2,Alabama,AL,378,1.65
ObjectId("5ea70f830e75000020051f91"),2018,5198,3196,898,4094,2002,9763,11765,4906885,15859,2,Alabama,AL,372,3.23
ObjectId("5ea70f830e75000020051f92"),2010,730,474,106,580,256,1152,1408,711456,1988,1,Alaska,AK,36,2.79
ObjectId("5ea70f830e75000020051f93"),2011,710,472,109,581,238,1215,1453,725910,2034,1,Alaska,AK,35,2.8
ObjectId("5ea70f830e75000020051f94"),2012,690,453,109,562,237,1221,1458,735190,2020,1,Alaska,AK,35,2.75
ObjectId("5ea70f830e75000020051f95"),2013,634,443,113,556,191,1248,1439,739005,1995,1,Alaska,AK,33,2.7
ObjectId("5ea70f830e75000020051f96"),2014,691,456,116,572,235,1202,1437,740644,2009,1,Alaska,AK,33,2.71
ObjectId("5ea70f830e75000020051f97"),2015,691,456,116,572,235,1200,1435,743350,2007,1,Alaska,AK,32,2.7
ObjectId("5ea70f830e75000020051f98"),2016,728,472,113,585,256,1156,1412,747188,1997,1,Alaska,AK,32,2.67
ObjectId("5ea70f830e75000020051f99"),2017,686,437,112,549,249,1135,1384,744849,1933,1,Alaska,AK,32,2.6
ObjectId("5ea70f830e75000020051f9a"),2018,699,436,124,560,263,1162,1425,742552,1985,1,Alaska,AK,33,2.67
ObjectId("5ea70f830e75000020051f9b"),2010,9685,5268,1360,6628,4417,11431,15848,6404623,22476,5,Arizona,AZ,117,3.51
ObjectId("5ea70f830e75000020051f9c"),2011,9439,5099,1325,6424,4340,11216,15556,6505261,21980,5,Arizona,AZ,116,3.38
ObjectId("5ea70f830e75000020051f9d"),2012,10124,5514,1417,6931,4610,11829,16439,6669918,23370,5,Arizona,AZ,115,3.5
ObjectId("5ea70f830e75000020051f9e"),2013,9466,5001,1276,6277,4465,10939,15404,6646289,21681,5,Arizona,AZ,113,3.26
ObjectId("5ea70f830e75000020051f9f"),2014,10217,5415,1336,6751,4802,11401,16203,6753058,22954,5,Arizona,AZ,115,3.4
ObjectId("5ea70f830e75000020051fa0"),2015,9983,5303,1399,6702,4680,11678,16358,6851271,23060,5,Arizona,AZ,115,3.37
ObjectId("5ea70f830e75000020051fa1"),2016,10004,5391,1334,6725,4613,11369,15982,6951468,22707,5,Arizona,AZ,117,3.27
ObjectId("5ea70f830e75000020051fa2"),2017,9888,5379,1382,6761,4509,11480,15989,7037119,22750,5,Arizona,AZ,114,3.23
ObjectId("5ea70f830e75000020051fa3"),2018,9672,5255,1399,6654,4417,11357,15774,7192613,22428,5,Arizona,AZ,115,3.12
ObjectId("5ea70f830e75000020051fa4"),2010,3925,2387,514,2901,1538,5930,7468,3034697,10369,3,Arkansas,AR,307,3.42
ObjectId("5ea70f830e75000020051fa5"),2011,3687,2260,533,2793,1427,5984,7411,3020076,10204,3,Arkansas,AR,289,3.38
ObjectId("5ea70f830e75000020051fa6"),2012,3722,2291,544,2835,1431,6099,7530,3082595,10365,3,Arkansas,AR,304,3.36
ObjectId("5ea70f830e75000020051fa7"),2013,3845,2364,532,2896,1481,6222,7703,3109825,10599,3,Arkansas,AR,304,3.41
ObjectId("5ea70f830e75000020051fa8"),2014,3907,2300,556,2856,1607,6260,7867,3142848,10723,3,Arkansas,AR,300,3.41
ObjectId("5ea70f830e75000020051fa9"),2015,4001,2402,548,2950,1599,6285,7884,3158605,10834,3,Arkansas,AR,307,3.43
ObjectId("5ea70f830e75000020051faa"),2016,3948,2349,579,2928,1599,6283,7882,3098083,10810,3,Arkansas,AR,315,3.49
ObjectId("5ea70f830e75000020051fab"),2017,3555,2042,567,2609,1513,5408,6921,3021597,9530,3,Arkansas,AR,296,3.15
ObjectId("5ea70f830e75000020051fac"),2018,3885,2352,620,2972,1533,6123,7656,3031153,10628,3,Arkansas,AR,289,3.51
ObjectId("5ea70f830e75000020051fad"),2010,40833,26172,10618,36790,14661,70994,85655,37346022,122445,6,California,CA,735,3.28
ObjectId("5ea70f830e75000020051fae"),2011,39576,25716,10279,35995,13860,68614,82474,37819249,118469,6,California,CA,736,3.13
ObjectId("5ea70f830e75000020051faf"),2012,40532,25712,10305,36017,14820,67757,82577,38183375,118594,6,California,CA,736,3.11
ObjectId("5ea70f830e75000020051fb0"),2013,40755,25815,10159,35974,14940,67770,82710,38498377,118684,6,California,CA,739,3.08
ObjectId("5ea70f830e75000020051fb1"),2014,41646,26289,10193,36482,15357,68238,83595,38970399,120077,6,California,CA,741,3.08
ObjectId("5ea70f830e75000020051fb2"),2015,41350,26091,10141,36232,15259,68507,83766,39315550,119998,6,California,CA,739,3.05
ObjectId("5ea70f830e75000020051fb3"),2016,41719,26144,10299,36443,15575,68620,84195,39421283,120638,6,California,CA,739,3.06
ObjectId("5ea70f830e75000020051fb4"),2017,40944,25474,10337,35811,15470,68403,83873,39713887,119684,6,California,CA,736,3.01
ObjectId("5ea70f830e75000020051fb5"),2018,40900,25561,10478,36039,15339,68663,84002,39735951,120041,6,California,CA,737,3.02
ObjectId("5ea70f830e75000020051fb6"),2010,5950,3907,1699,5606,2043,11104,13147,5299292,18753,7,Colorado,CO,255,3.54
ObjectId("5ea70f830e75000020051fb7"),2011,6190,4076,1660,5736,2114,11121,13235,5490450,18971,7,Colorado,CO,255,3.46
ObjectId("5ea70f830e75000020051fb8"),2012,5937,3885,1632,5517,2052,10950,13002,5321522,18519,7,Colorado,CO,251,3.48
ObjectId("5ea70f830e75000020051fb9"),2013,5641,3752,1778,5530,1889,11132,13021,5371354,18551,7,Colorado,CO,247,3.45
ObjectId("5ea70f830e75000020051fba"),2014,6001,3533,1972,5505,2468,10854,13322,5492445,18827,7,Colorado,CO,257,3.43
ObjectId("5ea70f830e75000020051fbb"),2015,6365,4063,1643,5706,2302,11266,13568,5614411,19274,7,Colorado,CO,269,3.43
ObjectId("5ea70f830e75000020051fbc"),2016,6530,4147,1713,5860,2383,11309,13692,5699669,19552,7,Colorado,CO,253,3.43
ObjectId("5ea70f830e75000020051fbd"),2017,6014,3842,1657,5499,2172,10762,12934,5665626,18433,7,Colorado,CO,225,3.25
ObjectId("5ea70f830e75000020051fbe"),2018,5998,3817,1721,5538,2181,10796,12977,5756844,18515,7,Colorado,CO,221,3.22
ObjectId("5ea70f830e75000020051fbf"),2010,1876,1082,816,1898,794,7881,8675,3694281,10573,8,Connecticut,CT,106,2.86
ObjectId("5ea70f830e75000020051fc0"),2011,1902,1081,787,1868,821,7595,8416,3672721,10284,8,Connecticut,CT,104,2.8
ObjectId("5ea70f830e75000020051fc1"),2012,1806,1058,810,1868,748,7715,8463,3702874,10331,8,Connecticut,CT,106,2.79
ObjectId("5ea70f830e75000020051fc2"),2013,1835,1056,803,1859,779,7741,8520,3687931,10379,8,Connecticut,CT,104,2.81
ObjectId("5ea70f830e75000020051fc3"),2014,1835,1076,838,1914,759,7966,8725,3772833,10639,8,Connecticut,CT,105,2.82
ObjectId("5ea70f830e75000020051fc4"),2015,1789,1051,782,1833,738,7199,7937,3703110,9770,8,Connecticut,CT,105,2.64
ObjectId("5ea70f830e75000020051fc5"),2016,1572,920,830,1750,652,7442,8094,3807343,9844,8,Connecticut,CT,109,2.59
ObjectId("5ea70f830e75000020051fc6"),2017,1442,860,758,1618,582,6567,7149,3645220,8767,8,Connecticut,CT,102,2.41
ObjectId("5ea70f830e75000020051fc7"),2018,1491,895,822,1717,596,6970,7566,3630004,9283,8,Connecticut,CT,106,2.56
ObjectId("5ea70f830e75000020051fc8"),2010,1304,812,434,1246,492,3128,3620,915164,4866,11,Delaware,DE,58,5.32
ObjectId("5ea70f830e75000020051fc9"),2011,1287,795,424,1219,492,3054,3546,923759,4765,11,Delaware,DE,56,5.16
ObjectId("5ea70f830e75000020051fca"),2012,877,558,328,886,319,2028,2347,934970,3233,11,Delaware,DE,59,3.46
ObjectId("5ea70f830e75000020051fcb"),2013,898,575,352,927,323,2125,2448,944369,3375,11,Delaware,DE,66,3.57
ObjectId("5ea70f830e75000020051fcc"),2014,1316,744,297,1041,572,2552,3124,954220,4165,11,Delaware,DE,68,4.36
ObjectId("5ea70f830e75000020051fcd"),2015,1325,801,297,1098,524,2550,3074,962461,4172,11,Delaware,DE,60,4.33
ObjectId("5ea70f830e75000020051fce"),2016,1404,870,319,1189,534,2618,3152,970016,4341,11,Delaware,DE,68,4.48
ObjectId("5ea70f830e75000020051fcf"),2017,694,371,273,644,323,2009,2332,978771,2976,11,Delaware,DE,63,3.04
ObjectId("5ea70f830e75000020051fd0"),2018,996,615,272,887,381,2043,2424,984141,3311,11,Delaware,DE,63,3.36
ObjectId("5ea70f830e75000020051fd1"),2010,28949,18422,6637,25059,10527,39765,50292,18910325,75351,12,Florida,FL,663,3.98
ObjectId("5ea70f830e75000020051fd2"),2011,27825,17799,6635,24434,10026,39260,49286,19173658,73720,12,Florida,FL,678,3.84
ObjectId("5ea70f830e75000020051fd3"),2012,28629,17777,6718,24495,10852,41169,52021,19434305,76516,12,Florida,FL,618,3.94
ObjectId("5ea70f830e75000020051fd4"),2013,28209,17924,6669,24593,10285,41437,51722,19672665,76315,12,Florida,FL,615,3.88
ObjectId("5ea70f830e75000020051fd5"),2014,29231,18322,6409,24731,10909,39512,50421,20007473,75152,12,Florida,FL,591,3.76
ObjectId("5ea70f830e75000020051fd6"),2015,27531,17711,6937,24648,9820,42193,52013,20388277,76661,12,Florida,FL,673,3.76
ObjectId("5ea70f830e75000020051fd7"),2016,31418,19612,7426,27038,11806,42062,53868,20750677,80906,12,Florida,FL,668,3.9
ObjectId("5ea70f830e75000020051fd8"),2017,28371,17938,7132,25070,10433,38844,49277,21152963,74347,12,Florida,FL,604,3.51
ObjectId("5ea70f830e75000020051fd9"),2018,28985,17843,6787,24630,11142,37906,49048,21441679,73678,12,Florida,FL,602,3.44
ObjectId("5ea70f830e75000020051fda"),2010,15029,9463,6692,16155,5566,32652,38218,9752532,54373,13,Georgia,GA,534,5.58
ObjectId("5ea70f830e75000020051fdb"),2011,15559,9635,6459,16094,5924,32659,38583,9880945,54677,13,Georgia,GA,556,5.53
ObjectId("5ea70f830e75000020051fdc"),2012,14947,9474,6579,16053,5473,32566,38039,9986384,54092,13,Georgia,GA,562,5.42
ObjectId("5ea70f830e75000020051fdd"),2013,14790,9345,6281,15626,5445,31372,36817,10059139,52443,13,Georgia,GA,557,5.21
ObjectId("5ea70f830e75000020051fde"),2014,15172,9388,6355,15743,5784,31458,37242,10166148,52985,13,Georgia,GA,547,5.21
ObjectId("5ea70f830e75000020051fdf"),2015,15243,9558,6465,16023,5685,32010,37695,10475611,53718,13,Georgia,GA,534,5.13
ObjectId("5ea70f830e75000020051fe0"),2016,15319,9523,6655,16178,5796,32335,38131,10572283,54309,13,Georgia,GA,545,5.14
ObjectId("5ea70f830e75000020051fe1"),2017,7959,5231,4054,9285,2728,19992,22720,10694367,32005,13,Georgia,GA,531,2.99
ObjectId("5ea70f830e75000020051fe2"),2018,9755,6634,4815,11449,3121,22834,25955,10990513,37404,13,Georgia,GA,532,3.4
ObjectId("5ea70f830e75000020051fe3"),2010,882,617,298,915,265,3070,3335,1479842,4250,15,Hawaii,HI,4,2.87
ObjectId("5ea70f830e75000020051fe4"),2011,877,615,299,914,262,3082,3344,1495625,4258,15,Hawaii,HI,4,2.85
ObjectId("5ea70f830e75000020051fe5"),2012,882,614,290,904,268,3073,3341,1514307,4245,15,Hawaii,HI,4,2.8
ObjectId("5ea70f830e75000020051fe6"),2013,876,602,279,881,274,3028,3302,1527273,4183,15,Hawaii,HI,4,2.74
ObjectId("5ea70f830e75000020051fe7"),2014,874,648,273,921,226,3154,3380,1543705,4301,15,Hawaii,HI,4,2.79
ObjectId("5ea70f830e75000020051fe8"),2015,930,630,294,924,300,3066,3366,1556738,4290,15,Hawaii,HI,4,2.76
ObjectId("5ea70f830e75000020051fe9"),2016,1279,844,539,1383,435,4498,4933,2424129,6316,15,Hawaii,HI,5,2.61
ObjectId("5ea70f830e75000020051fea"),2017,778,543,307,850,235,2644,2879,1427538,3729,15,Hawaii,HI,3,2.61
ObjectId("5ea70f830e75000020051feb"),2018,780,537,300,837,243,2544,2787,1420491,3624,15,Hawaii,HI,3,2.55
ObjectId("5ea70f830e75000020051fec"),2010,1694,1358,219,1577,336,2963,3299,1667541,4876,17,Idaho,ID,114,2.92
ObjectId("5ea70f830e75000020051fed"),2011,1587,1281,198,1479,306,2902,3208,1650055,4687,17,Idaho,ID,115,2.84
ObjectId("5ea70f830e75000020051fee"),2012,1632,1296,183,1479,336,2913,3249,1657731,4728,17,Idaho,ID,115,2.85
ObjectId("5ea70f830e75000020051fef"),2013,1656,1340,185,1525,316,2843,3159,1673884,4684,17,Idaho,ID,112,2.8
ObjectId("5ea70f830e75000020051ff0"),2014,1634,1281,196,1477,353,2841,3194,1692343,4671,17,Idaho,ID,113,2.76
ObjectId("5ea70f830e75000020051ff1"),2015,1709,1346,213,1559,363,2881,3244,1719351,4803,17,Idaho,ID,114,2.79
ObjectId("5ea70f830e75000020051ff2"),2016,1703,1375,219,1594,328,2933,3261,1741411,4855,17,Idaho,ID,112,2.79
ObjectId("5ea70f830e75000020051ff3"),2017,1663,1322,204,1526,341,2656,2997,1785558,4523,17,Idaho,ID,116,2.53
ObjectId("5ea70f830e75000020051ff4"),2018,2673,1539,205,1744,1134,2689,3823,1819181,5567,17,Idaho,ID,111,3.06
ObjectId("5ea70f830e75000020051ff5"),2010,14438,7460,5465,12925,6978,30165,37143,12888247,50068,18,Illinois,IL,726,3.88
ObjectId("5ea70f830e75000020051ff6"),2011,13866,7156,5274,12430,6710,29732,36442,12923112,48872,18,Illinois,IL,712,3.78
ObjectId("5ea70f830e75000020051ff7"),2012,14334,7107,5112,12219,7227,29421,36648,12934012,48867,18,Illinois,IL,740,3.78
ObjectId("5ea70f830e75000020051ff8"),2013,10150,6156,4285,10441,3994,29794,33788,12940590,44229,18,Illinois,IL,754,3.42
ObjectId("5ea70f830e75000020051ff9"),2014,13471,6884,4946,11830,6587,29455,36042,12938060,47872,18,Illinois,IL,751,3.7
ObjectId("5ea70f830e75000020051ffa"),2015,14156,7297,4908,12205,6859,30555,37414,12920809,49619,18,Illinois,IL,757,3.84
ObjectId("5ea70f830e75000020051ffb"),2016,13364,6844,4888,11732,6520,29295,35815,12857245,47547,18,Illinois,IL,746,3.7
ObjectId("5ea70f830e75000020051ffc"),2017,10096,4749,4318,9067,5347,20897,26244,12871297,35311,18,Illinois,IL,752,2.74
ObjectId("5ea70f830e75000020051ffd"),2018,10006,4663,4580,9243,5343,22164,27507,12810199,36750,18,Illinois,IL,657,2.87
ObjectId("5ea70f830e75000020051ffe"),2010,6214,3336,885,4221,2878,11169,14047,6494899,18268,19,Indiana,IN,309,2.81
ObjectId("5ea70f830e75000020051fff"),2011,6111,3238,866,4104,2873,11134,14007,6528075,18111,19,Indiana,IN,310,2.77
ObjectId("5ea70f830e75000020052000"),2012,5462,3033,879,3912,2429,10871,13300,6548541,17212,19,Indiana,IN,316,2.63
ObjectId("5ea70f830e75000020052001"),2013,5456,2942,834,3776,2514,10654,13168,6582010,16944,19,Indiana,IN,338,2.57
ObjectId("5ea70f830e75000020052002"),2014,5294,2865,847,3712,2429,10835,13264,6607982,16976,19,Indiana,IN,285,2.57
ObjectId("5ea70f830e75000020052003"),2015,5310,2810,890,3700,2500,11252,13752,6756198,17452,19,Indiana,IN,292,2.58
ObjectId("5ea70f830e75000020052004"),2016,5425,2843,880,3723,2582,11267,13849,6905471,17572,19,Indiana,IN,310,2.54
ObjectId("5ea70f830e75000020052005"),2017,1476,991,585,1576,485,6766,7251,6835640,8827,19,Indiana,IN,268,1.29
ObjectId("5ea70f830e75000020052006"),2018,3767,2113,1189,3302,1654,8831,10485,7066463,13787,19,Indiana,IN,277,1.95
ObjectId("5ea70f830e75000020052007"),2010,2896,1785,439,2224,1111,5109,6220,3235788,8444,16,Iowa,IA,252,2.61
ObjectId("5ea70f830e75000020052008"),2011,2709,1694,441,2135,1015,4992,6007,3179378,8142,16,Iowa,IA,230,2.56
ObjectId("5ea70f830e75000020052009"),2012,3017,1815,390,2205,1202,5019,6221,3245233,8426,16,Iowa,IA,245,2.6
ObjectId("5ea70f830e7500002005200a"),2013,2874,1754,418,2172,1120,5004,6124,3244635,8296,16,Iowa,IA,247,2.56
ObjectId("5ea70f830e7500002005200b"),2014,2970,1821,402,2223,1149,5028,6177,3311006,8400,16,Iowa,IA,263,2.54
ObjectId("5ea70f830e7500002005200c"),2015,3079,1876,435,2311,1203,5124,6327,3354213,8638,16,Iowa,IA,271,2.58
ObjectId("5ea70f830e7500002005200d"),2016,3090,1861,445,2306,1229,5078,6307,3318993,8613,16,Iowa,IA,274,2.6
ObjectId("5ea70f830e7500002005200e"),2017,2912,1757,441,2198,1155,4892,6047,3262185,8245,16,Iowa,IA,245,2.53
ObjectId("5ea70f830e7500002005200f"),2018,2999,1716,393,2109,1283,4632,5915,3412949,8024,16,Iowa,IA,252,2.35
ObjectId("5ea70f830e75000020052010"),2010,3852,2376,676,3052,1476,7327,8803,3077427,11855,20,Kansas,KS,477,3.85
ObjectId("5ea70f830e75000020052011"),2011,3861,2318,671,2989,1543,7208,8751,3072541,11740,20,Kansas,KS,467,3.82
ObjectId("5ea70f830e75000020052012"),2012,3615,2234,728,2962,1381,7228,8609,3100218,11571,20,Kansas,KS,472,3.73
ObjectId("5ea70f830e75000020052013"),2013,3597,2184,694,2878,1413,7287,8700,3128513,11578,20,Kansas,KS,474,3.7
ObjectId("5ea70f830e75000020052014"),2014,4098,2469,829,3298,1629,7604,9233,3252355,12531,20,Kansas,KS,490,3.85
ObjectId("5ea70f830e75000020052015"),2015,4037,2384,748,3132,1653,7313,8966,3170425,12098,20,Kansas,KS,455,3.82
ObjectId("5ea70f830e75000020052016"),2016,3573,2220,786,3006,1353,7395,8748,3154949,11754,20,Kansas,KS,451,3.73
ObjectId("5ea70f830e75000020052017"),2017,2811,1879,720,2599,932,6380,7312,3101213,9911,20,Kansas,KS,437,3.2
ObjectId("5ea70f830e75000020052018"),2018,2582,1681,716,2397,901,6105,7006,3099536,9403,20,Kansas,KS,428,3.03
ObjectId("5ea70f830e75000020052019"),2010,2540,1579,697,2276,961,9316,10277,4748332,12553,21,Kentucky,KY,412,2.64
ObjectId("5ea70f830e7500002005201a"),2011,2476,1487,659,2146,989,8642,9631,4421541,11777,21,Kentucky,KY,391,2.66
ObjectId("5ea70f830e7500002005201b"),2012,2501,1527,651,2178,974,8743,9717,4454279,11895,21,Kentucky,KY,398,2.67
ObjectId("5ea70f830e7500002005201c"),2013,2345,1451,642,2093,894,8530,9424,4432530,11517,21,Kentucky,KY,406,2.6
ObjectId("5ea70f830e7500002005201d"),2014,2738,1643,705,2348,1095,9060,10155,4491063,12503,21,Kentucky,KY,411,2.78
ObjectId("5ea70f830e7500002005201e"),2015,2807,1656,792,2448,1151,9815,10966,4505815,13414,21,Kentucky,KY,468,2.98
