_id,Average high in ºF Av_ high Hi,Average low in ºF Av_ low Lo,Av_ precipitation in inch Av_ precip_ Pre_,State,_row
ObjectId("5ea733140e75000020056e74"),54,34,4.84,Alabama,Jan
ObjectId("5ea733140e75000020056e75"),58,37,4.53,Alabama,Feb
ObjectId("5ea733140e75000020056e76"),67,44,5.23,Alabama,Mar
ObjectId("5ea733140e75000020056e77"),74,51,4.38,Alabama,Apr
ObjectId("5ea733140e75000020056e78"),82,60,4.99,Alabama,May
ObjectId("5ea733140e75000020056e79"),88,68,4.38,Alabama,Jun
ObjectId("5ea733140e75000020056e7a"),91,71,4.8,Alabama,Jul
ObjectId("5ea733140e75000020056e7b"),91,71,3.93,Alabama,Aug
ObjectId("5ea733140e75000020056e7c"),85,64,3.9,Alabama,Sep
ObjectId("5ea733140e75000020056e7d"),75,53,3.44,Alabama,Oct
ObjectId("5ea733140e75000020056e7e"),65,44,4.85,Alabama,Nov
ObjectId("5ea733140e75000020056e7f"),56,36,4.45,Alabama,Dec
ObjectId("5ea733140e75000020056e80"),23,11,0.73,Alaska,Jan1
ObjectId("5ea733140e75000020056e81"),27,14,0.72,Alaska,Feb1
ObjectId("5ea733140e75000020056e82"),34,19,0.6,Alaska,Mar1
ObjectId("5ea733140e75000020056e83"),44,29,0.47,Alaska,Apr1
ObjectId("5ea733140e75000020056e84"),56,40,0.72,Alaska,May1
ObjectId("5ea733140e75000020056e85"),63,48,0.97,Alaska,Jun1
ObjectId("5ea733140e75000020056e86"),65,52,1.83,Alaska,Jul1
ObjectId("5ea733140e75000020056e87"),64,50,3.25,Alaska,Aug1
ObjectId("5ea733140e75000020056e88"),55,42,2.99,Alaska,Sep1
ObjectId("5ea733140e75000020056e89"),40,29,2.03,Alaska,Oct1
ObjectId("5ea733140e75000020056e8a"),28,17,1.16,Alaska,Nov1
ObjectId("5ea733140e75000020056e8b"),25,13,1.11,Alaska,Dec1
ObjectId("5ea733140e75000020056e8c"),67,46,0.91,Arizona,Jan2
ObjectId("5ea733140e75000020056e8d"),71,49,0.92,Arizona,Feb2
ObjectId("5ea733140e75000020056e8e"),77,53,0.99,Arizona,Mar2
ObjectId("5ea733140e75000020056e8f"),85,60,0.28,Arizona,Apr2
ObjectId("5ea733140e75000020056e90"),95,69,0.11,Arizona,May2
ObjectId("5ea733140e75000020056e91"),104,78,0.02,Arizona,Jun2
ObjectId("5ea733140e75000020056e92"),106,83,1.05,Arizona,Jul2
ObjectId("5ea733140e75000020056e93"),104,83,1,Arizona,Aug2
ObjectId("5ea733140e75000020056e94"),100,77,0.64,Arizona,Sep2
ObjectId("5ea733140e75000020056e95"),89,65,0.58,Arizona,Oct2
ObjectId("5ea733140e75000020056e96"),76,53,0.65,Arizona,Nov2
ObjectId("5ea733140e75000020056e97"),66,45,0.88,Arizona,Dec2
ObjectId("5ea733140e75000020056e98"),51,32,3.54,Arkansas,Jan3
ObjectId("5ea733140e75000020056e99"),55,35,3.66,Arkansas,Feb3
ObjectId("5ea733140e75000020056e9a"),64,43,4.65,Arkansas,Mar3
ObjectId("5ea733140e75000020056e9b"),73,51,5.12,Arkansas,Apr3
ObjectId("5ea733140e75000020056e9c"),81,61,4.84,Arkansas,May3
ObjectId("5ea733140e75000020056e9d"),89,69,3.62,Arkansas,Jun3
ObjectId("5ea733140e75000020056e9e"),92,73,3.27,Arkansas,Jul3
ObjectId("5ea733140e75000020056e9f"),93,72,2.6,Arkansas,Aug3
ObjectId("5ea733140e75000020056ea0"),86,65,3.15,Arkansas,Sep3
ObjectId("5ea733140e75000020056ea1"),75,53,4.88,Arkansas,Oct3
ObjectId("5ea733140e75000020056ea2"),63,42,5.28,Arkansas,Nov3
ObjectId("5ea733140e75000020056ea3"),52,34,4.96,Arkansas,Dec3
ObjectId("5ea733140e75000020056ea4"),54,39,3.64,California,Jan4
ObjectId("5ea733140e75000020056ea5"),60,41,3.47,California,Feb4
ObjectId("5ea733140e75000020056ea6"),65,44,2.75,California,Mar4
ObjectId("5ea733140e75000020056ea7"),71,46,1.15,California,Apr4
ObjectId("5ea733140e75000020056ea8"),80,51,0.68,California,May4
ObjectId("5ea733140e75000020056ea9"),87,56,0.21,California,Jun4
ObjectId("5ea733140e75000020056eaa"),92,58,0,California,Jul4
ObjectId("5ea733140e75000020056eab"),91,58,0.05,California,Aug4
ObjectId("5ea733140e75000020056eac"),87,56,0.29,California,Sep4
ObjectId("5ea733140e75000020056ead"),78,50,0.95,California,Oct4
ObjectId("5ea733140e75000020056eae"),64,43,2.08,California,Nov4
ObjectId("5ea733140e75000020056eaf"),54,38,3.25,California,Dec4
ObjectId("5ea733140e75000020056eb0"),45,18,0.39,Colorado,Jan5
ObjectId("5ea733140e75000020056eb1"),46,19,0.35,Colorado,Feb5
ObjectId("5ea733140e75000020056eb2"),54,27,0.91,Colorado,Mar5
ObjectId("5ea733140e75000020056eb3"),61,34,1.69,Colorado,Apr5
ObjectId("5ea733140e75000020056eb4"),72,43,2.13,Colorado,May5
ObjectId("5ea733140e75000020056eb5"),82,52,1.97,Colorado,Jun5
ObjectId("5ea733140e75000020056eb6"),90,59,2.17,Colorado,Jul5
ObjectId("5ea733140e75000020056eb7"),88,57,1.69,Colorado,Aug5
ObjectId("5ea733140e75000020056eb8"),79,48,0.94,Colorado,Sep5
ObjectId("5ea733140e75000020056eb9"),66,37,1.02,Colorado,Oct5
ObjectId("5ea733140e75000020056eba"),52,25,0.59,Colorado,Nov5
ObjectId("5ea733140e75000020056ebb"),45,18,0.31,Colorado,Dec5
ObjectId("5ea733140e75000020056ebc"),37,23,3.1,Connecticut,Jan6
ObjectId("5ea733140e75000020056ebd"),40,25,2.79,Connecticut,Feb6
ObjectId("5ea733140e75000020056ebe"),47,31,4.05,Connecticut,Mar6
ObjectId("5ea733140e75000020056ebf"),58,41,4.13,Connecticut,Apr6
ObjectId("5ea733140e75000020056ec0"),68,51,3.8,Connecticut,May6
ObjectId("5ea733140e75000020056ec1"),77,60,3.61,Connecticut,Jun6
ObjectId("5ea733140e75000020056ec2"),82,66,3.46,Connecticut,Jul6
ObjectId("5ea733140e75000020056ec3"),81,66,3.96,Connecticut,Aug6
ObjectId("5ea733140e75000020056ec4"),74,58,3.48,Connecticut,Sep6
ObjectId("5ea733140e75000020056ec5"),63,47,3.64,Connecticut,Oct6
ObjectId("5ea733140e75000020056ec6"),53,38,3.39,Connecticut,Nov6
ObjectId("5ea733140e75000020056ec7"),42,28,3.33,Connecticut,Dec6
ObjectId("5ea733140e75000020056ec8"),43,27,3.41,Delaware,Jan7
ObjectId("5ea733140e75000020056ec9"),47,29,3.07,Delaware,Feb7
ObjectId("5ea733140e75000020056eca"),55,36,4.31,Delaware,Mar7
ObjectId("5ea733140e75000020056ecb"),66,44,3.88,Delaware,Apr7
ObjectId("5ea733140e75000020056ecc"),75,54,4.25,Delaware,May7
ObjectId("5ea733140e75000020056ecd"),83,63,4,Delaware,Jun7
ObjectId("5ea733140e75000020056ece"),87,68,4.09,Delaware,Jul7
ObjectId("5ea733140e75000020056ecf"),85,67,4.36,Delaware,Aug7
ObjectId("5ea733140e75000020056ed0"),79,60,4.13,Delaware,Sep7
ObjectId("5ea733140e75000020056ed1"),69,49,3.42,Delaware,Oct7
ObjectId("5ea733140e75000020056ed2"),58,40,3.48,Delaware,Nov7
ObjectId("5ea733140e75000020056ed3"),47,31,3.65,Delaware,Dec7
ObjectId("5ea733140e75000020056ed4"),64,39,4.34,Florida,Jan8
ObjectId("5ea733140e75000020056ed5"),67,42,4.85,Florida,Feb8
ObjectId("5ea733140e75000020056ed6"),74,47,5.94,Florida,Mar8
ObjectId("5ea733140e75000020056ed7"),80,52,3.06,Florida,Apr8
ObjectId("5ea733140e75000020056ed8"),87,62,3.47,Florida,May8
ObjectId("5ea733140e75000020056ed9"),91,69,7.73,Florida,Jun8
ObjectId("5ea733140e75000020056eda"),92,72,7.17,Florida,Jul8
ObjectId("5ea733140e75000020056edb"),92,72,7.35,Florida,Aug8
ObjectId("5ea733140e75000020056edc"),88,68,4.69,Florida,Sep8
ObjectId("5ea733140e75000020056edd"),81,57,3.23,Florida,Oct8
ObjectId("5ea733140e75000020056ede"),73,47,3.5,Florida,Nov8
ObjectId("5ea733140e75000020056edf"),65,41,3.9,Florida,Dec8
ObjectId("5ea733140e75000020056ee0"),52,34,4.21,Georgia,Jan9
ObjectId("5ea733140e75000020056ee1"),57,37,4.69,Georgia,Feb9
ObjectId("5ea733140e75000020056ee2"),64,45,4.8,Georgia,Mar9
ObjectId("5ea733140e75000020056ee3"),72,52,3.35,Georgia,Apr9
ObjectId("5ea733140e75000020056ee4"),81,61,3.66,Georgia,May9
ObjectId("5ea733140e75000020056ee5"),86,68,3.94,Georgia,Jun9
ObjectId("5ea733140e75000020056ee6"),90,72,5.28,Georgia,Jul9
ObjectId("5ea733140e75000020056ee7"),88,72,3.9,Georgia,Aug9
ObjectId("5ea733140e75000020056ee8"),82,64,4.49,Georgia,Sep9
ObjectId("5ea733140e75000020056ee9"),73,54,3.43,Georgia,Oct9
ObjectId("5ea733140e75000020056eea"),64,43,4.09,Georgia,Nov9
ObjectId("5ea733140e75000020056eeb"),54,36,3.9,Georgia,Dec9
ObjectId("5ea733140e75000020056eec"),80,66,2.31,Hawaii,Jan10
ObjectId("5ea733140e75000020056eed"),80,66,1.99,Hawaii,Feb10
ObjectId("5ea733140e75000020056eee"),81,68,2.02,Hawaii,Mar10
ObjectId("5ea733140e75000020056eef"),83,69,0.63,Hawaii,Apr10
ObjectId("5ea733140e75000020056ef0"),85,71,0.62,Hawaii,May10
ObjectId("5ea733140e75000020056ef1"),87,73,0.26,Hawaii,Jun10
ObjectId("5ea733140e75000020056ef2"),88,74,0.51,Hawaii,Jul10
ObjectId("5ea733140e75000020056ef3"),89,75,0.56,Hawaii,Aug10
ObjectId("5ea733140e75000020056ef4"),89,74,0.7,Hawaii,Sep10
ObjectId("5ea733140e75000020056ef5"),87,73,1.84,Hawaii,Oct10
ObjectId("5ea733140e75000020056ef6"),84,71,2.42,Hawaii,Nov10
ObjectId("5ea733140e75000020056ef7"),81,68,3.24,Hawaii,Dec10
ObjectId("5ea733140e75000020056ef8"),38,25,1.22,Idaho,Jan11
ObjectId("5ea733140e75000020056ef9"),45,28,0.98,Idaho,Feb11
ObjectId("5ea733140e75000020056efa"),55,34,1.38,Idaho,Mar11
ObjectId("5ea733140e75000020056efb"),62,39,1.22,Idaho,Apr11
ObjectId("5ea733140e75000020056efc"),72,47,1.38,Idaho,May11
ObjectId("5ea733140e75000020056efd"),81,54,0.67,Idaho,Jun11
ObjectId("5ea733140e75000020056efe"),91,60,0.31,Idaho,Jul11
ObjectId("5ea733140e75000020056eff"),90,60,0.24,Idaho,Aug11
ObjectId("5ea733140e75000020056f00"),79,51,0.55,Idaho,Sep11
ObjectId("5ea733140e75000020056f01"),65,41,0.75,Idaho,Oct11
ObjectId("5ea733140e75000020056f02"),48,32,1.34,Idaho,Nov11
ObjectId("5ea733140e75000020056f03"),38,24,1.54,Idaho,Dec11
ObjectId("5ea733140e75000020056f04"),32,18,2.05,Illinois,Jan12
ObjectId("5ea733140e75000020056f05"),36,21,1.93,Illinois,Feb12
ObjectId("5ea733140e75000020056f06"),46,30,2.72,Illinois,Mar12
ObjectId("5ea733140e75000020056f07"),59,41,3.62,Illinois,Apr12
ObjectId("5ea733140e75000020056f08"),70,52,4.13,Illinois,May12
ObjectId("5ea733140e75000020056f09"),81,63,4.06,Illinois,Jun12
ObjectId("5ea733140e75000020056f0a"),84,68,4.02,Illinois,Jul12
ObjectId("5ea733140e75000020056f0b"),82,66,3.98,Illinois,Aug12
ObjectId("5ea733140e75000020056f0c"),75,57,3.31,Illinois,Sep12
ObjectId("5ea733140e75000020056f0d"),63,46,3.23,Illinois,Oct12
ObjectId("5ea733140e75000020056f0e"),48,34,3.43,Illinois,Nov12
ObjectId("5ea733140e75000020056f0f"),36,23,2.56,Illinois,Dec12
ObjectId("5ea733140e75000020056f10"),35,19,2.73,Indiana,Jan13
ObjectId("5ea733140e75000020056f11"),40,22,2.27,Indiana,Feb13
ObjectId("5ea733140e75000020056f12"),51,30,3.18,Indiana,Mar13
ObjectId("5ea733140e75000020056f13"),63,40,3.78,Indiana,Apr13
ObjectId("5ea733140e75000020056f14"),73,50,4.77,Indiana,May13
ObjectId("5ea733140e75000020056f15"),82,59,4.31,Indiana,Jun13
ObjectId("5ea733140e75000020056f16"),85,63,4.15,Indiana,Jul13
ObjectId("5ea733140e75000020056f17"),83,61,3.28,Indiana,Aug13
ObjectId("5ea733140e75000020056f18"),77,53,2.68,Indiana,Sep13
ObjectId("5ea733140e75000020056f19"),65,42,3.12,Indiana,Oct13
ObjectId("5ea733140e75000020056f1a"),52,33,3.5,Indiana,Nov13
ObjectId("5ea733140e75000020056f1b"),39,23,2.93,Indiana,Dec13
ObjectId("5ea733140e75000020056f1c"),31,14,0.91,Iowa,Jan14
ObjectId("5ea733140e75000020056f1d"),36,19,1.26,Iowa,Feb14
ObjectId("5ea733140e75000020056f1e"),49,30,2.24,Iowa,Mar14
ObjectId("5ea733140e75000020056f1f"),62,41,3.86,Iowa,Apr14
ObjectId("5ea733140e75000020056f20"),72,52,4.72,Iowa,May14
ObjectId("5ea733140e75000020056f21"),82,62,4.92,Iowa,Jun14
ObjectId("5ea733140e75000020056f22"),86,67,4.45,Iowa,Jul14
ObjectId("5ea733140e75000020056f23"),84,65,4.09,Iowa,Aug14
ObjectId("5ea733140e75000020056f24"),76,55,3.03,Iowa,Sep14
ObjectId("5ea733140e75000020056f25"),63,43,2.64,Iowa,Oct14
ObjectId("5ea733140e75000020056f26"),48,31,2.17,Iowa,Nov14
ObjectId("5ea733140e75000020056f27"),34,18,1.38,Iowa,Dec14
ObjectId("5ea733140e75000020056f28"),51,32,3.54,Kansas,Jan15
ObjectId("5ea733140e75000020056f29"),55,35,3.66,Kansas,Feb15
ObjectId("5ea733140e75000020056f2a"),64,43,4.65,Kansas,Mar15
ObjectId("5ea733140e75000020056f2b"),73,51,5.12,Kansas,Apr15
ObjectId("5ea733140e75000020056f2c"),81,61,4.84,Kansas,May15
ObjectId("5ea733140e75000020056f2d"),89,69,3.62,Kansas,Jun15
ObjectId("5ea733140e75000020056f2e"),92,73,3.27,Kansas,Jul15
ObjectId("5ea733140e75000020056f2f"),93,72,2.6,Kansas,Aug15
ObjectId("5ea733140e75000020056f30"),86,65,3.15,Kansas,Sep15
ObjectId("5ea733140e75000020056f31"),75,53,4.88,Kansas,Oct15
ObjectId("5ea733140e75000020056f32"),63,42,5.28,Kansas,Nov15
ObjectId("5ea733140e75000020056f33"),52,34,4.96,Kansas,Dec15
ObjectId("5ea733140e75000020056f34"),40,21,3.15,Kentucky,Jan16
ObjectId("5ea733140e75000020056f35"),45,23,3.07,Kentucky,Feb16
ObjectId("5ea733140e75000020056f36"),55,31,4.06,Kentucky,Mar16
ObjectId("5ea733140e75000020056f37"),66,39,3.66,Kentucky,Apr16
ObjectId("5ea733140e75000020056f38"),75,49,4.61,Kentucky,May16
ObjectId("5ea733140e75000020056f39"),83,59,4.41,Kentucky,Jun16
ObjectId("5ea733140e75000020056f3a"),87,63,4.17,Kentucky,Jul16
ObjectId("5ea733140e75000020056f3b"),86,62,3.58,Kentucky,Aug16
ObjectId("5ea733140e75000020056f3c"),79,55,3.15,Kentucky,Sep16
ObjectId("5ea733140e75000020056f3d"),68,42,2.68,Kentucky,Oct16
ObjectId("5ea733140e75000020056f3e"),55,34,3.35,Kentucky,Nov16
ObjectId("5ea733140e75000020056f3f"),44,26,3.7,Kentucky,Dec16
ObjectId("5ea733140e75000020056f40"),62,45,5.12,Louisiana,Jan17
ObjectId("5ea733140e75000020056f41"),65,48,5.28,Louisiana,Feb17
ObjectId("5ea733140e75000020056f42"),72,53,4.49,Louisiana,Mar17
ObjectId("5ea733140e75000020056f43"),78,60,4.57,Louisiana,Apr17
ObjectId("5ea733140e75000020056f44"),85,68,4.57,Louisiana,May17
ObjectId("5ea733140e75000020056f45"),89,74,7.91,Louisiana,Jun17
ObjectId("5ea733140e75000020056f46"),91,75,5.98,Louisiana,Jul17
ObjectId("5ea733140e75000020056f47"),91,75,6.1,Louisiana,Aug17
ObjectId("5ea733140e75000020056f48"),87,72,5.12,Louisiana,Sep17
ObjectId("5ea733140e75000020056f49"),80,63,3.54,Louisiana,Oct17
ObjectId("5ea733140e75000020056f4a"),72,53,4.49,Louisiana,Nov17
ObjectId("5ea733140e75000020056f4b"),64,47,5.28,Louisiana,Dec17
ObjectId("5ea733140e75000020056f4c"),28,11,2.61,Maine,Jan18
ObjectId("5ea733140e75000020056f4d"),32,15,2.43,Maine,Feb18
ObjectId("5ea733140e75000020056f4e"),40,23,3.37,Maine,Mar18
ObjectId("5ea733140e75000020056f4f"),53,35,3.79,Maine,Apr18
ObjectId("5ea733140e75000020056f50"),65,45,3.69,Maine,May18
ObjectId("5ea733140e75000020056f51"),74,54,3.56,Maine,Jun18
ObjectId("5ea733140e75000020056f52"),79,60,3.42,Maine,Jul18
ObjectId("5ea733140e75000020056f53"),78,58,3.31,Maine,Aug18
ObjectId("5ea733140e75000020056f54"),70,51,3.74,Maine,Sep18
ObjectId("5ea733140e75000020056f55"),57,40,4.36,Maine,Oct18
ObjectId("5ea733140e75000020056f56"),45,31,4.36,Maine,Nov18
ObjectId("5ea733140e75000020056f57"),33,19,3.24,Maine,Dec18
ObjectId("5ea733140e75000020056f58"),42,29,2.91,Maryland,Jan19
ObjectId("5ea733140e75000020056f59"),46,31,2.6,Maryland,Feb19
ObjectId("5ea733140e75000020056f5a"),54,39,3.86,Maryland,Mar19
ObjectId("5ea733140e75000020056f5b"),65,48,3.19,Maryland,Apr19
ObjectId("5ea733140e75000020056f5c"),75,57,3.46,Maryland,May19
ObjectId("5ea733140e75000020056f5d"),85,67,3.27,Maryland,Jun19
ObjectId("5ea733140e75000020056f5e"),89,73,4.61,Maryland,Jul19
ObjectId("5ea733140e75000020056f5f"),87,71,3.39,Maryland,Aug19
ObjectId("5ea733140e75000020056f60"),80,64,4.06,Maryland,Sep19
ObjectId("5ea733140e75000020056f61"),68,52,3.03,Maryland,Oct19
ObjectId("5ea733140e75000020056f62"),58,43,2.95,Maryland,Nov19
ObjectId("5ea733140e75000020056f63"),46,33,3.39,Maryland,Dec19
ObjectId("5ea733140e75000020056f64"),36,22,3.35,Massachusetts,Jan20
ObjectId("5ea733140e75000020056f65"),39,25,3.23,Massachusetts,Feb20
ObjectId("5ea733140e75000020056f66"),45,31,4.29,Massachusetts,Mar20
ObjectId("5ea733140e75000020056f67"),56,41,3.74,Massachusetts,Apr20
ObjectId("5ea733140e75000020056f68"),66,50,3.46,Massachusetts,May20
ObjectId("5ea733140e75000020056f69"),76,60,3.66,Massachusetts,Jun20
ObjectId("5ea733140e75000020056f6a"),81,65,3.43,Massachusetts,Jul20
ObjectId("5ea733140e75000020056f6b"),80,65,3.27,Massachusetts,Aug20
ObjectId("5ea733140e75000020056f6c"),72,57,3.43,Massachusetts,Sep20
ObjectId("5ea733140e75000020056f6d"),61,47,3.94,Massachusetts,Oct20
ObjectId("5ea733140e75000020056f6e"),51,38,3.98,Massachusetts,Nov20
ObjectId("5ea733140e75000020056f6f"),41,28,3.78,Massachusetts,Dec20
ObjectId("5ea733140e75000020056f70"),30,17,1.65,Michigan,Jan21
ObjectId("5ea733140e75000020056f71"),33,19,1.47,Michigan,Feb21
ObjectId("5ea733140e75000020056f72"),44,26,2.06,Michigan,Mar21
ObjectId("5ea733140e75000020056f73"),58,37,3.03,Michigan,Apr21
ObjectId("5ea733140e75000020056f74"),69,47,3.36,Michigan,May21
ObjectId("5ea733140e75000020056f75"),78,57,3.45,Michigan,Jun21
ObjectId("5ea733140e75000020056f76"),82,61,2.84,Michigan,Jul21
ObjectId("5ea733140e75000020056f77"),80,59,3.23,Michigan,Aug21
ObjectId("5ea733140e75000020056f78"),73,51,3.5,Michigan,Sep21
ObjectId("5ea733140e75000020056f79"),60,41,2.53,Michigan,Oct21
ObjectId("5ea733140e75000020056f7a"),47,32,2.78,Michigan,Nov21
ObjectId("5ea733140e75000020056f7b"),34,22,1.87,Michigan,Dec21
ObjectId("5ea733140e75000020056f7c"),26,7,0.77,Minnesota,Jan22
ObjectId("5ea733140e75000020056f7d"),31,12,0.67,Minnesota,Feb22
ObjectId("5ea733140e75000020056f7e"),43,24,1.55,Minnesota,Mar22
ObjectId("5ea733140e75000020056f7f"),58,38,2.88,Minnesota,Apr22
ObjectId("5ea733140e75000020056f80"),71,50,3.7,Minnesota,May22
ObjectId("5ea733140e75000020056f81"),80,59,4.2,Minnesota,Jun22
ObjectId("5ea733140e75000020056f82"),85,64,4.4,Minnesota,Jul22
ObjectId("5ea733140e75000020056f83"),82,62,4.78,Minnesota,Aug22
ObjectId("5ea733140e75000020056f84"),73,53,3.27,Minnesota,Sep22
ObjectId("5ea733140e75000020056f85"),59,41,2.91,Minnesota,Oct22
ObjectId("5ea733140e75000020056f86"),42,27,1.82,Minnesota,Nov22
ObjectId("5ea733140e75000020056f87"),29,13,1.09,Minnesota,Dec22
ObjectId("5ea733140e75000020056f88"),56,35,4.97,Mississippi,Jan23
ObjectId("5ea733140e75000020056f89"),60,38,4.76,Mississippi,Feb23
ObjectId("5ea733140e75000020056f8a"),69,45,5.04,Mississippi,Mar23
ObjectId("5ea733140e75000020056f8b"),76,52,4.96,Mississippi,Apr23
ObjectId("5ea733140e75000020056f8c"),83,62,4.38,Mississippi,May23
ObjectId("5ea733140e75000020056f8d"),89,69,4.12,Mississippi,Jun23
ObjectId("5ea733140e75000020056f8e"),92,72,4.81,Mississippi,Jul23
ObjectId("5ea733140e75000020056f8f"),92,71,4.24,Mississippi,Aug23
ObjectId("5ea733140e75000020056f90"),87,65,3.03,Mississippi,Sep23
ObjectId("5ea733140e75000020056f91"),77,53,3.92,Mississippi,Oct23
ObjectId("5ea733140e75000020056f92"),67,44,4.76,Mississippi,Nov23
ObjectId("5ea733140e75000020056f93"),58,37,5.15,Mississippi,Dec23
ObjectId("5ea733140e75000020056f94"),40,21,1.9,Missouri,Jan24
ObjectId("5ea733140e75000020056f95"),45,25,2.31,Missouri,Feb24
ObjectId("5ea733140e75000020056f96"),56,33,3,Missouri,Mar24
ObjectId("5ea733140e75000020056f97"),67,44,4.14,Missouri,Apr24
ObjectId("5ea733140e75000020056f98"),75,54,5.17,Missouri,May24
ObjectId("5ea733140e75000020056f99"),83,64,4.39,Missouri,Jun24
ObjectId("5ea733140e75000020056f9a"),88,68,4.31,Missouri,Jul24
ObjectId("5ea733140e75000020056f9b"),88,66,4.04,Missouri,Aug24
ObjectId("5ea733140e75000020056f9c"),80,57,4.16,Missouri,Sep24
ObjectId("5ea733140e75000020056f9d"),69,45,3.34,Missouri,Oct24
ObjectId("5ea733140e75000020056f9e"),56,35,3.61,Missouri,Nov24
ObjectId("5ea733140e75000020056f9f"),43,24,2.73,Missouri,Dec24
ObjectId("5ea733140e75000020056fa0"),33,13,0.36,Montana,Jan25
ObjectId("5ea733140e75000020056fa1"),39,17,0.3,Montana,Feb25
ObjectId("5ea733140e75000020056fa2"),48,24,0.59,Montana,Mar25
